open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2021-01-08 00:00:00+00:00,1226.69,1272.88,1065.17,1216.5,19566.18845,2021-01-08 23:59:59.999000+00:00,23163173.9745257,21473,8258.40723,9720037.3715901,0
2021-01-09 00:00:00+00:00,1216.89,1302.86,1172.69,1275.48,10254.4139,2021-01-09 23:59:59.999000+00:00,12598777.7759424,13047,4023.51398,4944986.7510206,0
2021-01-10 00:00:00+00:00,1277.05,1348.22,1147.1,1254.69,12534.01472,2021-01-10 23:59:59.999000+00:00,16127117.3609118,17468,6003.14996,7709682.4354866,0
2021-01-11 00:00:00+00:00,1254.71,1259.68,800.0,1089.17,26350.66766,2021-01-11 23:59:59.999000+00:00,27908625.9987467,30568,12263.25798,12924792.1419031,0
2021-01-12 00:00:00+00:00,1086.38,1148.86,1011.0,1050.42,16189.11647,2021-01-12 23:59:59.999000+00:00,17379421.3860762,19205,6190.71993,6663140.970484,0
2021-01-13 00:00:00+00:00,1049.82,1137.21,988.1,1128.81,15999.41894,2021-01-13 23:59:59.999000+00:00,17132228.1888988,16716,4587.58662,4869468.2310553,0
2021-01-14 00:00:00+00:00,1131.58,1247.34,1086.0,1232.14,12574.4765,2021-01-14 23:59:59.999000+00:00,14882956.7858203,14101,3092.96312,3632213.5485118,0
2021-01-15 00:00:00+00:00,1232.47,1255.37,1072.08,1172.01,17127.19994,2021-01-15 23:59:59.999000+00:00,20028657.4517992,19650,4515.35891,5334432.5182896,0
2021-01-16 00:00:00+00:00,1172.01,1292.88,1151.79,1227.63,9344.46971,2021-01-16 23:59:59.999000+00:00,11441781.3986508,12413,2939.23607,3615308.2105109,0
2021-01-17 00:00:00+00:00,1226.87,1269.6,1167.61,1232.87,8459.77435,2021-01-17 23:59:59.999000+00:00,10303688.4895841,9436,2432.61823,2975263.7979149,0
2021-01-18 00:00:00+00:00,1232.87,1260.4,1183.33,1258.61,8096.07486,2021-01-18 23:59:59.999000+00:00,9897128.4962429,7910,1858.50174,2279908.979355,0
2021-01-19 00:00:00+00:00,1259.08,1439.33,1253.42,1368.78,18915.27917,2021-01-19 23:59:59.999000+00:00,25866929.1781477,21114,4835.67141,6592885.2889856,0
2021-01-20 00:00:00+00:00,1365.82,1407.86,1235.53,1376.38,14649.61596,2021-01-20 23:59:59.999000+00:00,19489514.513767,16986,4478.92197,5920650.8374936,0
2021-01-21 00:00:00+00:00,1377.37,1388.17,1084.85,1111.51,13850.20973,2021-01-21 23:59:59.999000+00:00,17035273.1420928,15149,6884.61448,8496552.6195736,0
2021-01-22 00:00:00+00:00,1111.85,1273.19,1043.09,1233.5,11501.14657,2021-01-22 23:59:59.999000+00:00,13350783.9863992,13122,5399.8147,6239053.8358431,0
2021-01-23 00:00:00+00:00,1232.44,1272.53,1197.11,1232.81,4350.24424,2021-01-23 23:59:59.999000+00:00,5386931.3507165,5758,2103.41261,2606499.184134,0
2021-01-24 00:00:00+00:00,1233.49,1399.0,1220.0,1391.15,5805.04273,2021-01-24 23:59:59.999000+00:00,7682868.6875392,8463,2944.39009,3880279.1408253,0
2021-01-25 00:00:00+00:00,1393.2,1474.64,1294.12,1318.62,14715.11642,2021-01-25 23:59:59.999000+00:00,20605952.5713299,17328,4070.68528,5693338.707944,0
2021-01-26 00:00:00+00:00,1316.67,1378.37,1245.35,1366.81,14260.8637,2021-01-26 23:59:59.999000+00:00,19050596.9449295,15058,2751.36864,3644990.7866767,0
2021-01-27 00:00:00+00:00,1366.23,1373.73,1207.98,1237.28,8378.5525,2021-01-27 23:59:59.999000+00:00,10701556.1337888,11488,3165.35142,4010609.2917731,0
2021-01-28 00:00:00+00:00,1237.28,1360.86,1217.97,1328.34,6465.2553,2021-01-28 23:59:59.999000+00:00,8548877.9044379,9240,2786.28701,3670124.905209,0
2021-01-29 00:00:00+00:00,1329.95,1436.42,1286.11,1378.9,17474.14258,2021-01-29 23:59:59.999000+00:00,23836285.2256121,21491,5501.41686,7516375.3732413,0
2021-01-30 00:00:00+00:00,1378.45,1406.4,1327.01,1376.49,5388.83326,2021-01-30 23:59:59.999000+00:00,7352893.1023857,7427,1926.54975,2612999.4144656,0
2021-01-31 00:00:00+00:00,1378.56,1379.48,1281.22,1313.57,3712.42284,2021-01-31 23:59:59.999000+00:00,4912273.4869613,5088,1950.0605,2580963.048491,0
2021-02-01 00:00:00+00:00,1312.35,1378.24,1270.0,1373.34,2794.097,2021-02-01 23:59:59.999000+00:00,3692610.6171629,4625,1531.26578,2024862.5701271,0
2021-02-02 00:00:00+00:00,1374.99,1547.82,1360.1,1512.13,9322.60357,2021-02-02 23:59:59.999000+00:00,13514352.4214375,13813,4425.94157,6437592.0659717,0
2021-02-03 00:00:00+00:00,1512.26,1668.65,1509.29,1664.81,7568.99228,2021-02-03 23:59:59.999000+00:00,11995275.6291656,12640,3208.71171,5106463.5625344,0
2021-02-04 00:00:00+00:00,1666.76,1695.0,1556.78,1596.35,9140.39564,2021-02-04 23:59:59.999000+00:00,14969424.5680685,14856,4823.03805,7901338.9982953,0
2021-02-05 00:00:00+00:00,1596.34,1760.69,1592.27,1720.87,5266.4374,2021-02-05 23:59:59.999000+00:00,8873259.3219896,9245,2265.9789,3820878.0010023,0
2021-02-06 00:00:00+00:00,1719.92,1743.97,1644.99,1678.84,3132.49235,2021-02-06 23:59:59.999000+00:00,5296998.2893812,6438,1611.78051,2729656.8230808,0
2021-02-07 00:00:00+00:00,1679.18,1692.09,1491.88,1614.93,4148.48929,2021-02-07 23:59:59.999000+00:00,6612428.0462365,7694,1966.95594,3122006.1030901,0
2021-02-08 00:00:00+00:00,1611.58,1775.77,1563.59,1750.06,4595.22839,2021-02-08 23:59:59.999000+00:00,7752957.2013486,9709,2417.53286,4076757.5842311,0
2021-02-09 00:00:00+00:00,1749.96,1821.52,1710.52,1771.5,4171.46145,2021-02-09 23:59:59.999000+00:00,7315707.4797348,8751,1910.99526,3355986.5571579,0
2021-02-10 00:00:00+00:00,1772.16,1836.06,1650.0,1741.85,4133.57861,2021-02-10 23:59:59.999000+00:00,7258847.3072378,9345,2181.55801,3836545.7066211,0
2021-02-11 00:00:00+00:00,1741.64,1817.59,1703.7,1785.77,2763.5868,2021-02-11 23:59:59.999000+00:00,4879188.4374452,5468,1333.07455,2355386.8014487,0
2021-02-12 00:00:00+00:00,1788.77,1863.91,1740.96,1840.56,3022.76802,2021-02-12 23:59:59.999000+00:00,5454449.6591317,7145,1558.09979,2817224.6340056,0
2021-02-13 00:00:00+00:00,1841.18,1872.2,1762.82,1816.41,2221.01758,2021-02-13 23:59:59.999000+00:00,4049872.7367881,5086,1099.19539,2006580.4274813,0
2021-02-14 00:00:00+00:00,1817.26,1850.0,1785.59,1800.0,1752.27348,2021-02-14 23:59:59.999000+00:00,3192783.783199,4157,887.06234,1616589.1781903,0
2021-02-15 00:00:00+00:00,1800.5,1835.48,1657.5,1783.28,4810.54714,2021-02-15 23:59:59.999000+00:00,8481656.896961,7175,2407.76138,4232839.5029585,0
2021-02-16 00:00:00+00:00,1779.28,1826.69,1724.03,1780.44,3818.69307,2021-02-16 23:59:59.999000+00:00,6788551.649473,5581,2279.39524,4049238.3233237,0
2021-02-17 00:00:00+00:00,1784.4,1854.28,1733.4,1848.94,3128.9528,2021-02-17 23:59:59.999000+00:00,5648074.8304972,5368,1535.72911,2774028.9315124,0
2021-02-18 00:00:00+00:00,1850.84,1950.9,1850.84,1940.95,3207.41979,2021-02-18 23:59:59.999000+00:00,6106404.1096675,6105,1642.71046,3129638.8655832,0
2021-02-19 00:00:00+00:00,1942.09,1972.91,1892.09,1956.13,6682.2845,2021-02-19 23:59:59.999000+00:00,13022721.1573614,6902,1868.24485,3623709.0110447,0
2021-02-20 00:00:00+00:00,1956.13,2040.79,1804.38,1914.69,5251.36661,2021-02-20 23:59:59.999000+00:00,10343875.2851228,10239,2907.02067,5731477.6388589,0
2021-02-21 00:00:00+00:00,1910.96,1976.0,1884.53,1933.91,4397.00703,2021-02-21 23:59:59.999000+00:00,8494896.1762953,5188,1617.04018,3112029.288685,0
2021-02-22 00:00:00+00:00,1933.91,1936.18,1530.59,1777.54,11529.07634,2021-02-22 23:59:59.999000+00:00,20345796.5084816,15711,5376.95581,9499272.1263349,0
2021-02-23 00:00:00+00:00,1777.54,1782.46,1357.03,1577.92,16245.14593,2021-02-23 23:59:59.999000+00:00,25009565.1965315,22400,8159.53133,12571701.3930037,0
2021-02-24 00:00:00+00:00,1579.26,1711.73,1502.81,1624.95,6179.07491,2021-02-24 23:59:59.999000+00:00,10017446.4165498,8607,3338.7786,5423619.4758223,0
2021-02-25 00:00:00+00:00,1623.2,1670.19,1459.27,1480.83,3292.06202,2021-02-25 23:59:59.999000+00:00,5223325.4910632,5446,1692.84505,2692415.0884818,0
2021-02-26 00:00:00+00:00,1482.7,1561.74,1401.0,1441.77,5365.48627,2021-02-26 23:59:59.999000+00:00,7927199.7614579,10848,2620.4977,3881092.3424145,0
2021-02-27 00:00:00+00:00,1446.48,1528.38,1425.71,1457.62,3792.4136,2021-02-27 23:59:59.999000+00:00,5625074.5461888,5958,1833.93586,2722496.0238104,0
